user,text
AlanBings,@realDonaldTrump He would have been bleeding out of somewhere other than the eyes but Biden was firmly up there already.
_Q369_,@realDonaldTrump 1 VS 2: 1 WON
schmiddyldn,@realDonaldTrump Another conspiracy theory ??? 🤣🤣🤣🤣 guess that’s all you have got left....
ShakilaBrooks,@realDonaldTrump Diarrhoea of the mouth isn’t debating Donnie
Tim09136519,"@realDonaldTrump JOE BIDEN THE MAN.       AND THEN THERE IS,.       trumpy"
Joey__Mahoney,@realDonaldTrump Loser
ribbalb,"@realDonaldTrump SAVE YOUR COUNTRY, VOTE BIDEN!"
AndyTR88463776,"@realDonaldTrump I admire Mr Trump. Just remind one thing, Trump is the pioneer on the way of protecting US from th… https://t.co/rbVA3PmBr8"
Robjerseyboy,@realDonaldTrump https://t.co/66KGOXRj4d
Rukki_Omojesu,@realDonaldTrump After messing up at the debate
Robjerseyboy,@realDonaldTrump https://t.co/SJtuWheU0B
nightowl4444,@realDonaldTrump They think Biden was wired. See video on James Woods’ tweet.
Robjerseyboy,@realDonaldTrump https://t.co/tn7iEOt3nW
ChithWeliamuna,@realDonaldTrump You lost. What do u do?
Maxxxeed,@realDonaldTrump And you still killed 'em! Trump is a damn SAVAGE!
SjWinsome,@realDonaldTrump https://t.co/JL3WQmgw3n
dghmusic,"@realDonaldTrump You came across as repugnant, petulant, desperate and lacking any grace or genuine care for the Am… https://t.co/xswZQUhaVJ"
yinlaosan1,@realDonaldTrump why you stand the C ?
pineconemind,"@realDonaldTrump Man, of all things, they chose Wallace. Ugh makes me sick."
Enochli228,@realDonaldTrump Wallace is disgusting.  Joe Biden is mentally disabled and incoherent.  Donald Trump is a strong m… https://t.co/GP108fn0Hl
prettyboykevboy,"@realDonaldTrump hey! shut up! i’m more civil and mature than you, and i’m 18 :)"
libertygal12,@realDonaldTrump Exactly!
gpapapostolou21,@realDonaldTrump @Qanon76 Mr President STOP THE WAR IN ARMENIA #WWG1WWGA  #armenia #greece
fsanchez1983,@realDonaldTrump You are a loser.
RogerAd23717796,@realDonaldTrump Trump truly is an embarrassment to your once great nation. Four more years and many more of your w… https://t.co/qI7oW1Q0AC
ConservativeJe7,@realDonaldTrump And you forgot the fourth person directing Joe in his ear the whole time. It was you back three. https://t.co/26wigWjwYK
jazzmom98,"@realDonaldTrump #DesperateDonald thinks he had to debate Joe Biden *and* Chris Wallace, but Chris was just trying… https://t.co/uO0yjaJFQQ"
here4thememes9,@realDonaldTrump Yeah... you started debating the moderator when he was trying to keep control... aren’t you embarr… https://t.co/02agiCeRxH
manuelpinto211,"@realDonaldTrump wallace repeating the ""very fine people"" bullshit was simply a disgrace. and i feel like he helped… https://t.co/ZcjuMnYnZZ"
Araceli85237871,"@realDonaldTrump You killed it Sir! Amazing job Mr. President! Hey Chris Wallace, yo dum ass, sleepy joe is NOT the VP! Get your facts right"
norgedane,"@realDonaldTrump @Triple_Bravo If you see a debate moderator as an adversary, you don’t get free world politics. Ch… https://t.co/wSySO9pC1o"
MukaAnna,@realDonaldTrump You proved “ proud boys “ are new KKK ... you done #TrumpIsARacist #TrumpIsALoser
MiltonK40687644,@realDonaldTrump Pathetic.
HeartofTrumen,@realDonaldTrump Could you be a bigger captain of butthurt?
BrickMaster2,@realDonaldTrump Chris Wallace let Biden get away with not answering any questions meanwhile asked loaded questions… https://t.co/NkSakUBfvt
elnikoman,@realDonaldTrump Why won't you condemn white supremacists?
AvtarDavatwal,@realDonaldTrump Dick
ga_saighdiuir,@realDonaldTrump @Sbh08Mae It's NOT a debate when you act like a petulant child and speak over the moderator and yo… https://t.co/TB2XQqZKXf
maxfairclough,@realDonaldTrump You can't deride someone for their mental state and lack of energy only to then fail to land anyth… https://t.co/ZdJpOOcxrU
alphastralen,@realDonaldTrump The difference is just enormous! #TrumpIsAFraud  https://t.co/Jlac3kmVtW
metascrawl,@realDonaldTrump Exploit joe selling out the left
Adogg1973,@realDonaldTrump And you lost. Bigly.
sanatanibalika,@realDonaldTrump Exactly.
ArchitectPeteC,@realDonaldTrump https://t.co/J8rWTrR7RV
papa91894599,@realDonaldTrump Congratulations on your reelection.
rychrd_2ng,@realDonaldTrump it was self-inflicting 🤪
radardudedon,@realDonaldTrump Why didn’t you bring up the fact that Obama/Biden depleted the supply of N95 masks?  Nancy Pelosi… https://t.co/C1Tyiqnkka
mvpkhun,@realDonaldTrump Totally agree
abo_haija,"@realDonaldTrump You're the One,  👍"
christinegenti6,@realDonaldTrump 🤦🏻‍♀️🤦🏻‍♀️
MayaMay76436830,@realDonaldTrump @TarekFatah Pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls pls Become The President o… https://t.co/Du1HQ4cAu4
yvohu1,@realDonaldTrump Retweet if you are counting down the days until Rudy and Trump become official cellmates. #ByeRudy https://t.co/RSc01Hy6dy
SpikeDakota,@realDonaldTrump @Qanon76 Someone let Joe out with his earpiece. https://t.co/orYSZBkfpP
naomibailey07,@realDonaldTrump Poor Donald! HUGE SOB 😢LOL
AlleyneTeam,@realDonaldTrump https://t.co/NW2U1Dh33g
LostBy2864974,@realDonaldTrump Two adults and a two-year-old.
